State,A1,A2,A3,A4
S1,37.974552957654794,35.519854660005386,33.806213198423464,31.029059945509438
S2,36.852978174765546,34.94077603686012,32.63057364577327,29.680365049710193
S3,35.980562178594845,33.57877721120201,31.68843253261017,28.49678004824396
S4,37.62973508549851,35.91471987494307,34.002192837060655,30.764833357734584
S5,36.64805787537838,34.66554827335706,32.622729281589365,29.66588104385042
S6,35.76596375182322,33.68122979870344,31.55482534870454,29.024626591022837
S7,37.79196964646445,35.61472425975853,33.79743897099541,30.61568461860219
S8,36.52071449336852,34.52104989123137,32.409160496706384,29.606307788520667
S9,35.98143971801464,33.49500987730573,31.84483580238533,28.51844522116359
S10,38.07316642170418,36.04584364702445,33.92700745032497,30.733308753599996
S11,36.70133487507414,34.76880434133093,32.48875305158552,29.875311485149382
S12,35.49533549669291,33.807494420438424,31.2852955818464,28.66810920184796
S13,37.904664660902,35.94070828019509,33.737348410381145,30.513888468313226
S14,37.06954019797092,34.62670850734944,32.53941419327367,29.73069942812437
S15,35.559389504147916,33.29960214123507,31.801868083826424,28.91025758095817
S16,37.38567959016904,35.52155916272527,33.59269219527162,30.78428532827819
S17,36.73198292221566,34.64900355385451,32.797508013139115,29.51276658768067
S18,35.79713950293641,33.67603935879951,31.61066102696967,28.579405110047407
S19,37.663720686993464,35.544860452754264,33.80430668834855,30.379296580587944
S20,37.177897274380385,34.78570603096667,32.43237511043293,29.551050250621163
S21,35.76547321172839,33.64284641330996,31.401168706277844,28.237282968989934
S22,37.720656098376544,35.55404920880768,33.860687633475706,30.829248989414744
S23,37.02613505486953,34.58179486611627,32.73594001049936,29.65034235028667
S24,35.575999155573264,33.52815231668368,31.500905416306658,28.71597346089102
S25,37.53938074235695,35.66260317885719,33.78752299256368,30.916679668287465
S26,36.541803967406125,34.37754719343302,32.56032470747877,29.57736440225071
S27,36.02134599092493,33.503668835565456,31.976725066250523,28.727920874410053
S28,37.795743309675586,35.86982876642552,33.45757139566094,30.84441769897268
S29,36.72457580540571,34.47401527104559,32.90882876573354,29.754787906813846
S30,35.61249409251788,33.536671631940905,31.597580712803577,28.785685844464428
S31,37.46351420364908,35.75417721097397,33.63534455993266,30.62274842485232
S32,36.80747264271583,34.700148335972735,32.720089697515846,29.738419239933403
S33,35.65592860173512,33.560138609432265,31.808974643507582,28.655368638851606
S34,37.62978384366054,35.50922610721014,33.65180634969516,30.555974213632343
S35,36.67746251019685,35.04134432231193,32.96350887671077,29.82959755730147
S36,35.5473059699687,33.56579570590222,31.8408514046004,28.79228620011612
S37,27.5905124658801,29.539473110746012,32.02202873286168,34.680282566771766
S38,28.750672434434648,30.662570547470903,32.744893025983274,35.516562901814645
S39,29.664281772617066,32.10113690523344,33.67236024608567,36.737080233994234
S40,27.688922312825504,29.645897946904924,31.81112501545944,34.98045636869472
S41,28.996719996772978,30.82032548242054,32.587293220979674,35.49892077178539
S42,29.522940884806648,31.657572167278552,33.924060546776076,36.703369778722724
S43,27.807093121045956,29.592364345861345,31.498531833203714,34.4890335028708
S44,28.17496973788022,30.769293241462798,32.64696833369814,35.71419537464
S45,29.537828431897367,31.92390839090969,33.565467134468136,36.38994813361344
S46,30.830711930683815,32.76548450628447,34.61753560408024,36.94237881226176
S47,31.402521222347122,33.607518521949864,35.697883321967495,36.51783697175489
S48,32.71420457637264,34.49353706507048,36.82533561328608,36.6066517207274
S49,30.51238659970158,32.88685472020067,35.02589671800119,36.52849223901025
S50,31.528200162059637,33.42704934053202,35.60503948201862,36.95052283044246
S51,32.845427535168014,34.479096152886555,36.42408950754397,36.653657685224005
S52,31.20877989182406,32.514587328049394,34.70809361333159,36.51088304282419
S53,31.783705126289522,33.50507580497896,35.94044056059513,36.67292014012447
S54,32.752802164096,34.85004015289552,36.42750088114549,36.80244202730683
S55,35.42567896091815,34.61103909303022,33.65911097037928,32.46316872636792
S56,35.59514832874175,34.77444780675853,33.67906599910542,32.61880799802203
S57,35.31591687541365,34.48188512899618,33.68656952564796,32.67874863071158
S58,35.498960485939975,34.623308418000725,33.98119458751601,32.72602030796944
S59,35.55505184327946,34.57007527473949,33.87680845251342,32.49149275920745
S60,35.46018423716555,34.71651188781104,33.725892219553,32.412978063541914
S61,35.90521354112262,34.94126700128746,33.58697659492452,32.6712771130342
S62,35.43152041584209,34.87490150072314,33.583124929228795,33.009782480398655
S63,35.646652833617374,34.58211636739669,33.69348022462976,32.91010225591803
S64,37.77134564049708,35.49365210364993,33.70877350188388,30.51752094848088
S65,36.46366292200819,34.276194778492474,32.84730166786373,29.533307911388523
S66,35.4672470804964,33.799565990303144,31.577686832073983,28.597635830547638
S67,37.6616597293934,35.56815927769477,33.898302992870015,30.751873668394865
S68,36.677830710049484,34.73651240593427,32.52289883302252,29.501183948214912
S69,35.77458147536086,33.87120513882837,31.874561902084423,28.613055058676885
S70,37.57674999498225,35.7184523060309,33.74665155515523,30.64232124583971
S71,36.349424473449275,34.71641145476501,32.726503705163545,29.781606314825655
S72,35.622575871140896,33.83050398396971,31.50697733735423,28.683830188785695
