State,A1,A2,A3,A4
S1,10.101773062367814,6.1905280942964005,5.686621151503537,3.073116765673273
S2,9.460584719788569,6.9328769547013,4.7741032162589745,2.5381441716777187
S3,7.802402489530871,6.31169422083801,5.065982367876716,0.9975718441039885
S4,10.830363719698507,7.576768638056922,6.921533358061682,3.3200319179964555
S5,8.431575110330822,7.051470444763158,4.943744026937881,2.6779133892500226
S6,7.104847976657127,5.5900749176674545,4.613176413110065,1.5346762257764368
S7,9.487275078738133,8.630859803250253,5.378843360808155,3.094331227666644
S8,9.257121005421878,7.6042881457170015,5.48869402158569,2.9358388006844387
S9,8.197181284971665,6.0068076218582585,4.401033888983988,1.8544242882715654
S10,9.93177384284878,7.808301739511929,6.146256535544401,2.5058526765570073
S11,9.225926646618408,7.258167490490484,5.2825954312864525,2.0630857692074733
S12,8.846422671489835,7.170560625656063,3.9241681140070077,1.7195398010689649
S13,8.549872513687571,6.865937113500266,5.3671897616924085,2.984657560021245
S14,9.030518981997039,6.584485961341027,5.3120916531432485,2.2588895964635145
S15,7.700882151127763,5.604550765172068,4.187519411790924,0.9330065753050379
S16,8.217693506365203,7.508727887870514,5.076028209471115,3.4703098589271257
S17,8.079033487380258,6.913316536742274,5.532656814077995,2.8525057197281916
S18,8.520164417743734,6.238750712319526,4.492089820805682,0.9997058462488151
S19,9.950107423653428,7.847192360957321,6.333860235747855,3.042409336552326
S20,9.207248381472365,7.210921130286713,4.60003364630979,2.4861478848161367
S21,7.191071880660411,5.61186327133813,4.3045255175186465,1.7208843041753359
S22,10.180794638195568,7.182934486402612,5.400817478460568,3.866290011102613
S23,9.054910853294878,6.221623088962254,4.886479227626782,1.6302606990691308
S24,8.075450518880055,3.9505582333248954,4.697660455663419,1.2676677795524491
S25,9.500204562233883,8.43511822226795,6.287712401285284,3.589900646033615
S26,9.120810710460166,6.119588751993863,6.023289701809852,2.098382691506186
S27,6.2029791187822445,5.934735280423849,5.153071870099126,0.9312504985130439
S28,9.89381835385414,6.610095974729071,4.548663491126221,3.5437206775780803
S29,9.717549954554713,6.982813897803319,4.439218895152913,2.310979436673228
S30,7.660859285780925,5.855047000713976,4.561756455051245,1.5122892722273977
S31,10.311583572035332,7.554242300712758,5.52881869785487,3.0989946318762454
S32,7.867555715601396,7.11057850876279,4.908175914073175,2.603625918223071
S33,7.6284171582529,6.839621292765316,3.537567880263966,0.7820117377349409
S34,10.065199303950646,6.688478376023675,5.998548947655408,2.8738405021611237
S35,9.051487241697313,6.725074648315264,5.083511092714512,2.5251591479613347
S36,8.210129783882383,6.2788806264711665,4.26085272001585,1.1254611244207111
S37,0.2577849524893302,2.319153187587075,3.2395543168201493,6.186501918713839
S38,1.5344055695025423,3.932931756379359,3.307777320077702,7.539334499577746
S39,2.7191599527301586,4.320381561212008,5.4341733719127445,8.465351423185673
S40,-0.5004806036910323,2.1271488187353116,3.3203273398422066,6.437777103066707
S41,1.1424427599491114,3.257904362696814,5.109083128381411,7.526772645565058
S42,2.64662032222473,4.103963525031367,6.98512285299795,7.279451037416979
S43,0.23634227807638958,2.6816543325224322,4.243619795162456,6.479048306064857
S44,1.4482635552194194,2.8371448434417954,5.589423395797585,9.021399382825257
S45,2.350982996153217,3.4284845589658635,6.3383982968320325,7.4841682499018525
S46,2.222047862384659,5.064880272266078,5.245136798265734,10.02068603063571
S47,3.0980976712436066,5.760667438282311,6.830212779761347,10.068752371315112
S48,4.309364486067516,7.560544034569252,8.668746674612665,8.61970223484111
S49,3.6285091226925013,4.544564668372159,5.297264289876704,9.018543027889244
S50,4.154721069986398,6.267881817728736,7.23660739947203,9.05743989463749
S51,5.115627696298031,5.2371616975054796,9.12067458651553,8.013462364890328
S52,2.8256844267187438,5.192430300364352,5.624683051870622,9.583589662050883
S53,4.379688510733977,6.2314614562352215,7.355378724328064,9.105672897183089
S54,4.73852711216137,7.370411850540326,8.835254554332057,9.370642695438725
S55,8.587790120808029,6.062975613504747,6.548507586605445,3.7547182909511503
S56,7.511061188740211,6.291771168452221,6.45371834557893,4.953133568890075
S57,7.81393729811874,7.448796424365048,5.616441911883844,5.864398758635076
S58,7.209821953369042,6.6672930193541,5.448721387601518,5.469717587751486
S59,7.404126174259178,7.828791784626174,5.113645473027805,5.120318013462358
S60,7.813003051849594,6.771301847839102,5.6760192339458495,4.8646084437617745
S61,8.14412991245452,7.746075706743563,5.118031447484717,5.199951509333195
S62,7.450712662762992,5.501099621559944,5.7318657157883335,3.319258518007326
S63,7.046985109611556,6.136793056245471,4.4345863486057375,4.294422684734457
S64,9.694549291257148,8.466635322526862,5.934638585562578,3.93902464815721
S65,8.6360771967383,6.1633500304325235,4.969863483267102,2.245255085488121
S66,8.257153621728234,6.771109801568853,4.067151836031514,0.5514003453847539
S67,8.98006122651019,6.6692194150387385,7.047737625837865,3.697784645919132
S68,8.511510944344595,6.684723496923902,4.429181160205639,2.820917203469613
S69,8.123969508005613,5.509351008451383,4.328600691283425,2.1027719670753484
S70,9.26341415498512,7.651459129643201,5.5139618469720295,3.441664544219559
S71,8.670441300876394,6.715312737076857,5.546299534525114,1.9387482691489428
S72,8.423897429148033,5.0743216492624645,3.6882992157292462,0.4631001741589447
